x,y
-9.171341991597687127e+01,1.336256251345555199e+02
1.306217021456365934e+01,2.459579256175138369e+02
-7.110557942616605942e+01,-1.144741967973086076e+02
-2.812047682911479569e+02,7.497959007218767624e+01
1.296275105402429801e+02,3.913939874085669857e+01
2.150532786604406112e+02,-9.917076982774574390e+01
4.757968193241395056e+02,-1.465860896637829285e+02
2.322874724010389400e+02,-5.668404303436219749e+01
2.726488114931698803e+01,1.264553113076676638e+01
1.147711978085943656e+02,1.213634517965904820e+02
2.995775093574071661e+02,-9.564674948049091086e+01
8.718850150002299415e+01,2.171134358284358257e+02
-4.953026996834606877e+01,-4.985247485604747908e+01
-3.373073860288695869e+01,-7.699120393144426089e+01
-1.949270606170753695e+02,-3.312906946605835401e+00
-4.724085170815209267e+02,5.357372399340201241e+01
6.506598979866323873e+01,7.914962857772904670e+01
2.794067789363556926e+02,-1.410626757181367452e+02
-4.139081905944110531e+02,1.992399093422119805e+01
-2.112087577778755758e+02,8.987521129510400897e+01
-7.901600114450994283e+01,-7.067972978320034372e+01
-2.322765548965177516e+02,4.425927896595059963e+01
-6.394814494425190787e+00,2.696318497658095339e+02
2.424671800749742445e+01,1.684668984150513040e+02
-5.677767319225207387e+01,1.440045974809693234e+02
-3.523154791636534355e+01,-6.941440995337333675e+01
2.376171625744603659e+02,-2.786418087248587838e+01
2.974125840142001493e+02,-7.899073457820971100e+01
9.566445142148182867e+01,2.253458945405006730e+01
4.243316889207929989e+02,-9.855632258465649898e+01
-8.738523594826101970e+00,1.480402163515734060e+02
-1.352449889067719084e+02,1.698221574380728214e+02
-1.292855262501242066e+02,1.727727913526800023e+02
2.369430023174090820e+02,-1.936982659293579445e+01
5.329203651900333938e+01,1.356059651184095927e+01
3.078396058532635493e+02,-7.094249206972877175e+01
-1.759047352341190162e+01,4.294461450735968810e+01
1.865726352018301384e+02,-1.249329448935351365e+02
-1.027357802357628316e+02,-6.795577550170547454e+01
2.218679637835074061e+02,-2.738969184703949367e+01
2.405430173263586369e+02,-1.138754241909274896e+02
2.207564253187670147e+02,-1.446776795538293925e+02
6.419464106094262945e+01,-1.327714587239262016e+02
5.273603655942838486e+01,1.875005607627717836e+02
8.560639075326480452e+01,-1.198238323255479827e+02
-2.250831471367565939e+02,-3.979613267453136416e+01
1.959891812025095987e+02,-4.101099502696928312e+01
2.814777038356295407e+02,-1.009423117033969959e+02
1.140475995425990732e+02,-9.536105569743024546e+01
4.884140387857519272e+01,-6.673055710411176733e+00
-3.317674149794406731e+02,7.248711921280209936e+01
2.578377464055764108e+02,-7.506246799553419180e+01
-2.373494501542897126e+02,1.328796567733543270e+02
-1.322768185895910165e+02,-1.101165827981094480e+01
-2.384753941531383532e+02,8.562911373661222569e+01
3.011897417747757117e+02,-1.121434761918164895e+02
3.871684455652330143e+02,-1.289405633127220767e+02
-4.074501589764228271e+01,1.484902386240612486e+02
-1.418478536024481969e+02,1.894532054836362818e+02
3.369230433801108120e+02,-3.548574909787231491e+01
4.698377551643436050e+02,-1.331434078954757751e+02
-1.716811523029197417e+02,-9.687377941407670789e+01
2.148265833336872674e+02,-5.405604223269260444e+01
-3.742461596875835994e+02,7.986907508945552081e+01
-9.744159127936916320e+01,8.577874520340947129e+01
-1.194926835365745319e+02,1.041133982795372503e+01
5.493222221616861134e+01,3.772869603663449034e+00
7.805859112552306556e+01,-6.658342376833851972e+01
-8.251903100637191812e+01,1.142909630724409027e+02
8.037166434860363751e+00,-8.573767349775246771e+01
-3.678352576836225580e+02,1.533671448700378050e+02
9.322737511337754768e+01,1.200720889008213561e+02
-1.650735967650010139e+02,2.626705234027121971e+00
-2.153035549334997825e+02,9.721050865487838166e+01
2.446001199890234545e+01,1.373852821735410430e+02
1.152573379727687239e+02,-1.448300622732697320e+02
2.821516773525248212e+01,1.273132018561366294e+02
2.491289631801892028e+02,-5.573839671352428837e+01
4.107024205421891452e+02,-4.532809173631469690e+01
-2.363175808186454105e+02,-8.503452896294220409e+00
4.357245031719869530e+02,-1.458427406413092058e+02
-1.120983093407847520e+02,-1.172922733436917326e+02
2.690369667855406988e+02,-2.868070343921249332e+01
2.800422510707406900e+02,-2.596011525071544312e+01
-8.061680512596599613e+01,4.193189307337308946e+01
1.152052717902184185e+02,2.516801304605633050e+01
9.251637933813034920e+01,-1.091567969149333237e+02
-3.993759209827048267e+02,8.550587837831795923e+01
2.611967057244458488e+02,-3.915660377783069634e+01
-4.568376907268788045e+02,6.182473126678807773e+01
1.879151105229730092e+02,-2.297781122393105946e+01
-2.122524261697308390e+01,9.516049158493474636e+01
-3.662927172197474324e+00,-6.308426053125773336e+01
4.205919859499999802e+02,-1.357253090611843049e+02
-2.590689341670779982e+02,1.825556728139683171e+00
1.804042520134072447e+02,-9.113821355740950025e+01
-2.301946819722116118e+02,-8.116825281320551255e+01
-6.176410866801916200e+01,-8.902384202536865132e+01
5.080187745863273818e+01,-1.293020718832524096e+02
3.303269413660145659e+01,2.655693650638562531e+02
-7.403395758280531425e+01,-1.607810796835165945e+01
-1.043633767398632699e+02,1.599977271126699634e+02
